"middleUltrasonic","leftUltrasonic","rightUltrasonic","backUltrasonic","L0","L1","L2","xAccel","yAccel","zAccel","xGyro","yGyro","zGyro","xMag","yMag","zMag","servoAngle","state"
"89.0","203.0","88.0","97.0","0","0","0","675.0","-175.0","8530.0","-17.0","16.0","11.0","340.0","-410.0","-580.0","90","0"
"90.0","204.0","88.0","94.0","0","0","0","670.0","-182.0","8542.0","-18.0","16.0","12.0","344.0","-414.0","-582.0","90","0"
"90.0","201.0","87.0","95.0","0","0","0","676.0","-176.0","8541.0","-18.0","15.0","12.0","346.0","-412.0","-570.0","90","0"
"90.0","203.0","86.0","95.0","0","0","0","676.0","-179.0","8551.0","-17.0","16.0","9.0","342.0","-416.0","-580.0","90","0"
"90.0","201.0","88.0","105.0","0","0","0","671.0","-177.0","8549.0","-17.0","16.0","11.0","342.0","-412.0","-574.0","90","0"
"90.0","203.0","88.0","97.0","0","0","0","679.0","-181.0","8552.0","-17.0","16.0","11.0","343.0","-415.0","-571.0","90","0"
"89.0","205.0","86.0","95.0","0","0","0","673.0","-183.0","8544.0","-16.0","17.0","11.0","342.0","-416.0","-590.0","90","0"
"89.0","204.0","87.0","95.0","0","0","0","680.0","-179.0","8546.0","-18.0","16.0","12.0","337.0","-415.0","-577.0","90","0"
"90.0","204.0","87.0","103.0","0","0","0","643.0","-181.0","8555.0","-19.0","25.0","1.0","344.0","-398.0","-582.0","90","1"
"87.0","203.0","88.0","107.0","0","0","0","87.0","-89.0","8574.0","-17.0","39.0","-3.0","345.0","-407.0","-581.0","90","1"
"87.0","202.0","85.0","119.0","0","0","0","412.0","-164.0","8584.0","2.0","103.0","116.0","342.0","-412.0","-574.0","90","1"
"83.0","210.0","85.0","8.0","0","0","0","612.0","-191.0","8579.0","34.0","4.0","137.0","338.0","-406.0","-568.0","90","1"
"81.0","207.0","88.0","10.0","0","0","0","645.0","-183.0","8678.0","-10.0","0.0","108.0","331.0","-403.0","-569.0","90","1"
"78.0","206.0","85.0","13.0","0","0","0","761.0","-205.0","8530.0","13.0","30.0","93.0","337.0","-407.0","-555.0","90","1"
"75.0","209.0","85.0","16.0","0","0","0","633.0","-121.0","8509.0","-6.0","34.0","200.0","335.0","-409.0","-541.0","90","1"
"68.0","207.0","86.0","20.0","0","0","0","651.0","-276.0","8593.0","-13.0","-13.0","112.0","323.0","-413.0","-533.0","90","1"
"69.0","207.0","87.0","24.0","0","0","0","580.0","-238.0","8630.0","-48.0","59.0","180.0","316.0","-408.0","-536.0","90","1"
"64.0","133.0","87.0","27.0","0","0","0","552.0","-151.0","8500.0","-19.0","151.0","156.0","305.0","-411.0","-529.0","90","1"
"61.0","140.0","88.0","31.0","0","0","0","589.0","-205.0","8570.0","40.0","54.0","148.0","296.0","-400.0","-522.0","90","1"
"57.0","142.0","91.0","34.0","0","0","0","746.0","-262.0","8544.0","-6.0","117.0","163.0","290.0","-402.0","-524.0","90","1"
"55.0","148.0","92.0","35.0","0","0","0","692.0","-97.0","8533.0","9.0","37.0","242.0","287.0","-399.0","-519.0","90","1"
"53.0","153.0","117.0","42.0","0","0","0","545.0","-250.0","8539.0","24.0","66.0","199.0","269.0","-405.0","-535.0","90","1"
"50.0","159.0","119.0","45.0","0","0","0","759.0","-264.0","8543.0","-45.0","140.0","193.0","271.0","-395.0","-531.0","90","1"
"46.0","160.0","126.0","49.0","0","0","0","624.0","-162.0","8601.0","39.0","34.0","203.0","267.0","-401.0","-541.0","90","1"
"44.0","163.0","128.0","54.0","0","0","0","610.0","-157.0","8537.0","22.0","7.0","153.0","267.0","-409.0","-541.0","90","1"
"40.0","204.0","118.0","58.0","0","0","0","739.0","-151.0","8498.0","-11.0","110.0","142.0","269.0","-401.0","-531.0","90","1"
"37.0","108.0","116.0","106.0","0","0","0","628.0","-271.0","8566.0","-19.0","45.0","266.0","253.0","-393.0","-541.0","90","1"
"34.0","112.0","115.0","118.0","0","0","0","609.0","-261.0","8497.0","12.0","129.0","182.0","252.0","-396.0","-542.0","90","1"
"31.0","205.0","116.0","122.0","0","0","0","580.0","-236.0","8568.0","19.0","28.0","204.0","260.0","-404.0","-544.0","90","1"
"27.0","115.0","117.0","112.0","0","0","0","819.0","-241.0","8607.0","-1.0","-28.0","221.0","259.0","-401.0","-553.0","90","0"
"26.0","197.0","116.0","108.0","0","0","0","1485.0","-288.0","8574.0","-21.0","-12.0","70.0","265.0","-401.0","-541.0","90","0"
"27.0","194.0","116.0","109.0","0","0","0","560.0","-187.0","8575.0","-17.0","25.0","-4.0","268.0","-400.0","-550.0","90","0"
"26.0","115.0","117.0","109.0","0","0","0","586.0","-203.0","8558.0","-16.0","26.0","9.0","269.0","-403.0","-553.0","90","0"
"26.0","93.0","117.0","108.0","0","0","0","650.0","-201.0","8544.0","-17.0","10.0","13.0","265.0","-401.0","-549.0","90","0"
"26.0","103.0","117.0","114.0","0","0","0","624.0","-197.0","8546.0","-18.0","21.0","12.0","263.0","-399.0","-545.0","90","0"
"89.0","67.0","87.0","141.0","0","0","0","675.0","-158.0","8542.0","-18.0","16.0","10.0","360.0","-408.0","-586.0","90","0"
"89.0","96.0","87.0","168.0","0","0","0","668.0","-158.0","8539.0","-18.0","17.0","12.0","361.0","-419.0","-577.0","90","0"
"88.0","203.0","89.0","169.0","0","0","0","670.0","-166.0","8539.0","-16.0","18.0","10.0","355.0","-407.0","-585.0","90","0"
"89.0","202.0","87.0","170.0","0","0","0","674.0","-166.0","8550.0","-17.0","17.0","12.0","365.0","-405.0","-577.0","90","0"
"88.0","83.0","89.0","169.0","0","0","0","670.0","-162.0","8552.0","-17.0","17.0","11.0","356.0","-408.0","-586.0","90","0"
"89.0","82.0","89.0","169.0","0","0","0","668.0","-160.0","8543.0","-17.0","17.0","11.0","360.0","-410.0","-582.0","90","0"
"89.0","82.0","88.0","168.0","0","0","0","667.0","-168.0","8555.0","-19.0","17.0","12.0","355.0","-415.0","-585.0","90","0"
"89.0","80.0","88.0","123.0","0","0","0","671.0","-168.0","8548.0","-17.0","17.0","12.0","357.0","-411.0","-577.0","90","0"
"89.0","81.0","88.0","168.0","0","0","0","674.0","-168.0","8544.0","-18.0","16.0","12.0","355.0","-413.0","-573.0","90","0"
"89.0","81.0","88.0","171.0","0","0","0","588.0","-152.0","8559.0","-21.0","32.0","-4.0","362.0","-398.0","-592.0","90","1"
"87.0","79.0","88.0","129.0","0","0","0","-6.0","-115.0","8576.0","-21.0","-32.0","45.0","354.0","-410.0","-580.0","90","1"
"86.0","77.0","88.0","110.0","0","0","0","422.0","-202.0","8578.0","-9.0","-22.0","83.0","354.0","-408.0","-586.0","90","1"
"84.0","209.0","87.0","9.0","0","0","0","558.0","-141.0","8600.0","6.0","37.0","104.0","356.0","-408.0","-574.0","90","1"
"82.0","82.0","86.0","10.0","0","0","0","584.0","-173.0","8452.0","-8.0","131.0","181.0","349.0","-411.0","-571.0","90","1"
"75.0","207.0","85.0","13.0","0","0","0","695.0","-270.0","8586.0","-20.0","13.0","147.0","355.0","-411.0","-555.0","90","1"
"74.0","65.0","85.0","15.0","0","0","0","631.0","-213.0","8542.0","-27.0","7.0","150.0","352.0","-408.0","-556.0","90","1"
"72.0","63.0","85.0","19.0","0","0","0","723.0","-229.0","8487.0","-14.0","46.0","172.0","355.0","-407.0","-541.0","90","1"
"68.0","64.0","85.0","22.0","0","0","0","716.0","-235.0","8593.0","1.0","-19.0","188.0","341.0","-413.0","-531.0","90","1"
"66.0","246.0","85.0","27.0","0","0","0","644.0","-310.0","8553.0","12.0","42.0","141.0","335.0","-403.0","-525.0","90","1"
"62.0","99.0","85.0","30.0","0","0","0","666.0","-338.0","8543.0","47.0","96.0","157.0","317.0","-405.0","-533.0","90","1"
"60.0","97.0","86.0","33.0","0","0","0","699.0","-191.0","8446.0","-62.0","15.0","195.0","305.0","-401.0","-529.0","90","1"
"57.0","75.0","88.0","36.0","0","0","0","811.0","-157.0","8611.0","2.0","5.0","187.0","298.0","-400.0","-534.0","90","1"
"54.0","75.0","89.0","39.0","0","0","0","791.0","-193.0","8546.0","6.0","4.0","196.0","289.0","-401.0","-529.0","90","1"
"51.0","72.0","91.0","42.0","0","0","0","861.0","-123.0","8521.0","12.0","0.0","220.0","288.0","-406.0","-534.0","90","1"
"48.0","209.0","114.0","45.0","0","0","0","694.0","-298.0","8553.0","-35.0","23.0","184.0","287.0","-401.0","-537.0","90","1"
"44.0","208.0","94.0","49.0","0","0","0","522.0","-121.0","8413.0","-19.0","-17.0","243.0","281.0","-415.0","-539.0","90","1"
"41.0","207.0","123.0","53.0","0","0","0","739.0","-248.0","8603.0","-26.0","95.0","249.0","286.0","-400.0","-540.0","90","1"
"38.0","148.0","97.0","56.0","0","0","0","723.0","-271.0","8620.0","-18.0","-137.0","227.0","272.0","-406.0","-540.0","90","1"
"35.0","151.0","111.0","59.0","0","0","0","774.0","-256.0","8544.0","-24.0","97.0","248.0","262.0","-400.0","-542.0","90","1"
"32.0","155.0","110.0","63.0","0","0","0","657.0","-203.0","8525.0","15.0","30.0","212.0","274.0","-402.0","-550.0","90","1"
"29.0","160.0","113.0","68.0","0","0","0","776.0","-335.0","8381.0","17.0","153.0","160.0","272.0","-406.0","-550.0","90","0"
"28.0","64.0","109.0","69.0","0","0","0","1364.0","-117.0","8593.0","-27.0","-29.0","59.0","267.0","-403.0","-559.0","90","0"
"27.0","170.0","111.0","69.0","0","0","0","483.0","-213.0","8545.0","-16.0","42.0","8.0","273.0","-403.0","-553.0","90","0"
"91.0","205.0","102.0","156.0","0","0","0","806.0","-193.0","8526.0","-18.0","15.0","12.0","353.0","-401.0","-593.0","90","0"
"91.0","204.0","102.0","157.0","0","0","0","803.0","-195.0","8529.0","-17.0","16.0","12.0","358.0","-406.0","-588.0","90","0"
"92.0","204.0","104.0","156.0","0","0","0","809.0","-189.0","8539.0","-17.0","16.0","12.0","356.0","-406.0","-584.0","90","0"
"92.0","203.0","103.0","17.0","0","0","0","809.0","-198.0","8526.0","-18.0","17.0","11.0","362.0","-408.0","-580.0","90","0"
"90.0","204.0","102.0","18.0","0","0","0","807.0","-195.0","8527.0","-16.0","16.0","11.0","360.0","-412.0","-594.0","90","0"
"91.0","51.0","101.0","18.0","0","0","0","800.0","-196.0","8527.0","-17.0","16.0","11.0","362.0","-408.0","-582.0","90","0"
"92.0","50.0","104.0","17.0","0","0","0","806.0","-195.0","8531.0","-17.0","18.0","12.0","363.0","-409.0","-591.0","90","0"
"91.0","53.0","101.0","17.0","0","0","0","793.0","-195.0","8542.0","-17.0","20.0","13.0","355.0","-399.0","-585.0","90","1"
"92.0","48.0","103.0","158.0","0","0","0","446.0","-34.0","8548.0","19.0","78.0","290.0","353.0","-413.0","-581.0","90","1"
"89.0","52.0","87.0","29.0","0","0","0","-141.0","-133.0","8280.0","3.0","134.0","52.0","362.0","-412.0","-586.0","90","1"
"86.0","207.0","86.0","162.0","0","0","0","551.0","-185.0","8685.0","3.0","-103.0","123.0","361.0","-413.0","-581.0","90","1"
"85.0","204.0","86.0","10.0","0","0","0","575.0","-153.0","8483.0","-30.0","2.0","219.0","357.0","-417.0","-571.0","90","1"
"80.0","40.0","85.0","11.0","0","0","0","601.0","-215.0","8481.0","-6.0","54.0","157.0","355.0","-405.0","-577.0","90","1"
"79.0","207.0","84.0","13.0","0","0","0","697.0","-189.0","8627.0","-9.0","-50.0","147.0","354.0","-406.0","-554.0","90","1"
"74.0","52.0","84.0","16.0","0","0","0","654.0","-239.0","8682.0","0.0","36.0","213.0","349.0","-423.0","-553.0","90","1"
"71.0","212.0","83.0","20.0","0","0","0","810.0","-220.0","8632.0","-47.0","139.0","166.0","350.0","-408.0","-544.0","90","1"
"69.0","210.0","82.0","24.0","0","0","0","811.0","-269.0","8508.0","-7.0","18.0","149.0","335.0","-409.0","-539.0","90","1"
"66.0","209.0","85.0","27.0","0","0","0","706.0","-240.0","8570.0","35.0","-27.0","195.0","321.0","-405.0","-527.0","90","1"
"62.0","60.0","85.0","30.0","0","0","0","765.0","-334.0","8527.0","28.0","128.0","181.0","317.0","-415.0","-527.0","90","1"
"60.0","209.0","87.0","33.0","0","0","0","649.0","-321.0","8550.0","-29.0","11.0","157.0","302.0","-406.0","-530.0","90","1"
"56.0","210.0","86.0","36.0","0","0","0","432.0","-300.0","8443.0","-42.0","8.0","169.0","300.0","-396.0","-534.0","90","1"
"53.0","212.0","87.0","40.0","0","0","0","717.0","-218.0","8503.0","24.0","75.0","106.0","303.0","-407.0","-531.0","90","1"
"49.0","212.0","124.0","44.0","0","0","0","565.0","-214.0","8572.0","-47.0","-63.0","134.0","282.0","-408.0","-538.0","90","1"
"45.0","212.0","113.0","47.0","0","0","0","558.0","-93.0","8459.0","-41.0","87.0","139.0","275.0","-405.0","-535.0","90","1"
"43.0","56.0","122.0","50.0","0","0","0","654.0","-262.0","8606.0","43.0","25.0","124.0","278.0","-412.0","-530.0","90","1"
"39.0","192.0","115.0","54.0","0","0","0","632.0","-88.0","8573.0","-47.0","-44.0","191.0","274.0","-402.0","-532.0","90","1"
"35.0","151.0","110.0","57.0","0","0","0","664.0","-125.0","8632.0","-30.0","-57.0","180.0","276.0","-400.0","-544.0","90","1"
"33.0","209.0","110.0","62.0","0","0","0","673.0","-226.0","8560.0","-55.0","-15.0","184.0","268.0","-406.0","-556.0","90","1"
"30.0","64.0","108.0","65.0","0","0","0","800.0","-215.0","8527.0","-6.0","7.0","154.0","280.0","-396.0","-554.0","90","0"
"28.0","59.0","109.0","67.0","0","0","0","1407.0","-53.0","8362.0","-16.0","-20.0","44.0","282.0","-406.0","-554.0","90","0"
"28.0","161.0","110.0","68.0","0","0","0","549.0","-232.0","8533.0","-19.0","50.0","8.0","279.0","-395.0","-543.0","90","0"
"91.0","201.0","102.0","154.0","0","0","0","813.0","-191.0","8527.0","-18.0","17.0","11.0","351.0","-413.0","-573.0","90","0"
"90.0","204.0","88.0","154.0","0","0","0","810.0","-187.0","8534.0","-17.0","17.0","11.0","349.0","-405.0","-585.0","90","0"
"89.0","202.0","103.0","157.0","0","0","0","816.0","-189.0","8531.0","-18.0","17.0","11.0","358.0","-404.0","-580.0","90","0"
"91.0","200.0","89.0","155.0","0","0","0","810.0","-187.0","8535.0","-17.0","16.0","11.0","357.0","-415.0","-583.0","90","0"
"91.0","201.0","103.0","153.0","0","0","0","810.0","-188.0","8540.0","-17.0","17.0","10.0","353.0","-411.0","-583.0","90","0"
"91.0","203.0","89.0","154.0","0","0","0","812.0","-187.0","8533.0","-18.0","17.0","11.0","343.0","-413.0","-589.0","90","0"
"85.0","202.0","99.0","153.0","0","0","0","796.0","-201.0","8529.0","-20.0","17.0","14.0","359.0","-407.0","-591.0","90","1"
"90.0","204.0","103.0","154.0","0","0","0","359.0","-356.0","8576.0","20.0","-4.0","230.0","351.0","-409.0","-581.0","90","1"
"90.0","105.0","86.0","156.0","0","0","0","204.0","-175.0","8533.0","-57.0","-126.0","87.0","361.0","-411.0","-583.0","90","1"
"88.0","208.0","86.0","112.0","0","0","0","693.0","-196.0","8649.0","13.0","33.0","147.0","355.0","-409.0","-571.0","90","1"
"80.0","51.0","86.0","9.0","0","0","0","553.0","-202.0","8609.0","-24.0","-35.0","194.0","348.0","-402.0","-568.0","90","1"
"81.0","205.0","85.0","12.0","0","0","0","689.0","-227.0","8484.0","-8.0","35.0","243.0","349.0","-413.0","-565.0","90","1"
"77.0","209.0","84.0","14.0","0","0","0","650.0","-236.0","8626.0","-24.0","-41.0","173.0","348.0","-408.0","-558.0","90","1"
"74.0","39.0","84.0","16.0","0","0","0","664.0","-217.0","8507.0","0.0","-37.0","198.0","341.0","-395.0","-543.0","90","1"
"72.0","38.0","84.0","20.0","0","0","0","676.0","-198.0","8530.0","-41.0","127.0","222.0","345.0","-413.0","-549.0","90","1"
"68.0","210.0","85.0","24.0","0","0","0","779.0","-295.0","8555.0","-39.0","87.0","211.0","331.0","-417.0","-527.0","90","1"
"65.0","209.0","85.0","27.0","0","0","0","552.0","-225.0","8590.0","70.0","13.0","217.0","317.0","-415.0","-523.0","90","1"
"62.0","209.0","86.0","30.0","0","0","0","707.0","-214.0","8550.0","80.0","100.0","207.0","302.0","-404.0","-524.0","90","1"
"60.0","208.0","87.0","34.0","0","0","0","738.0","-305.0","8622.0","-29.0","99.0","261.0","295.0","-409.0","-531.0","90","1"
"55.0","209.0","87.0","37.0","0","0","0","573.0","-239.0","8537.0","6.0","74.0","255.0","286.0","-400.0","-528.0","90","1"
"53.0","213.0","121.0","40.0","0","0","0","705.0","-183.0","8611.0","66.0","99.0","157.0","272.0","-406.0","-530.0","90","1"
"50.0","215.0","114.0","44.0","0","0","0","740.0","-407.0","8615.0","-12.0","106.0","231.0","284.0","-402.0","-536.0","90","1"
"46.0","216.0","122.0","47.0","0","0","0","619.0","-169.0","8559.0","63.0","108.0","189.0","272.0","-402.0","-530.0","90","1"
"42.0","169.0","124.0","53.0","0","0","0","758.0","-115.0","8547.0","20.0","125.0","209.0","272.0","-398.0","-538.0","90","1"
"39.0","54.0","112.0","56.0","0","0","0","608.0","-311.0","8536.0","-29.0","42.0","214.0","259.0","-399.0","-541.0","90","1"
"36.0","55.0","113.0","59.0","0","0","0","732.0","-325.0","8522.0","-12.0","64.0","192.0","257.0","-399.0","-547.0","90","1"
"34.0","207.0","112.0","64.0","0","0","0","620.0","-110.0","8466.0","22.0","65.0","156.0","261.0","-397.0","-545.0","90","1"
"30.0","206.0","113.0","70.0","0","0","0","771.0","-320.0","8643.0","-66.0","53.0","218.0","275.0","-395.0","-547.0","90","0"
"29.0","204.0","113.0","140.0","0","0","0","1528.0","-265.0","8534.0","-32.0","-80.0","101.0","278.0","-402.0","-550.0","90","0"
"29.0","62.0","113.0","141.0","0","0","0","407.0","-214.0","8535.0","-17.0","13.0","-5.0","263.0","-399.0","-547.0","90","0"
"92.0","51.0","102.0","152.0","0","0","0","809.0","-190.0","8528.0","-17.0","18.0","12.0","356.0","-408.0","-582.0","90","0"
"92.0","202.0","102.0","154.0","0","0","0","815.0","-198.0","8533.0","-17.0","16.0","11.0","358.0","-412.0","-578.0","90","0"
"93.0","204.0","103.0","116.0","0","0","0","801.0","-194.0","8540.0","-18.0","16.0","10.0","357.0","-405.0","-573.0","90","0"
"92.0","201.0","103.0","154.0","0","0","0","816.0","-196.0","8537.0","-16.0","17.0","12.0","351.0","-407.0","-585.0","90","0"
"92.0","202.0","104.0","153.0","0","0","0","811.0","-194.0","8534.0","-17.0","16.0","11.0","354.0","-414.0","-586.0","90","0"
"92.0","205.0","104.0","154.0","0","0","0","812.0","-195.0","8540.0","-17.0","17.0","11.0","360.0","-400.0","-582.0","90","0"
"92.0","204.0","101.0","153.0","0","0","0","785.0","-195.0","8540.0","-19.0","21.0","14.0","359.0","-399.0","-583.0","90","1"
"91.0","203.0","102.0","154.0","0","0","0","249.0","-299.0","8383.0","45.0","39.0","181.0","360.0","-412.0","-582.0","90","1"
"88.0","41.0","86.0","112.0","0","0","0","614.0","-213.0","8749.0","-3.0","-107.0","100.0","354.0","-404.0","-576.0","90","1"
"86.0","40.0","87.0","129.0","0","0","0","715.0","-193.0","8652.0","2.0","0.0","154.0","358.0","-408.0","-570.0","90","1"
"83.0","41.0","102.0","8.0","0","0","0","530.0","-147.0","8565.0","-14.0","-32.0","188.0","364.0","-402.0","-568.0","90","1"
