leftUltrasonic,upperLeftUltrasonic, middleUltrasonic, upperRightUltrasonic,rightUltrasonic,L0,L1,L2,xAccel,yAccel,zAccel,xGyro,yGyro,zGyro,xMag,yMag,zMag,servoAngle,state
58,55,53,30,18,1,1,1,386,-197,8547,1,19,135,173,-11,-713,90,0
58,51,48,27,17,1,1,1,495,-152,8530,22,24,156,156,-6,-716,90,0
7,45,44,20,16,1,1,1,524,-85,8490,12,27,83,161,-23,-715,90,1
7,44,46,41,5,1,1,1,630,-264,8605,120,33,2285,195,-23,-719,90,0
60,58,39,37,19,1,1,1,223,-195,8564,2,-22,109,206,-18,-730,90,0
58,56,35,33,20,1,1,1,431,-286,8557,4,10,94,211,-13,-721,90,0
56,54,30,29,22,1,1,1,446,-193,8550,-7,4,76,209,-13,-725,90,0
54,54,82,24,5,1,1,1,455,-186,8636,-15,-9,79,204,-22,-732,90,0
8,51,21,18,23,1,1,1,395,-286,8458,11,52,213,211,-19,-735,90,1
53,47,57,15,32,1,1,1,614,-210,8538,154,18,2591,239,-39,-735,90,1
86,45,47,17,21,1,1,1,569,-323,8608,181,20,3000,271,-87,-739,90,1
7,47,43,77,21,1,1,1,544,100,8537,168,-40,3203,284,-130,-750,90,0
77,46,40,77,21,1,1,1,354,-254,8570,19,-25,-3,290,-142,-748,90,0
8,39,35,75,6,1,1,1,234,-218,8561,-25,41,100,290,-148,-748,90,0
8,35,31,72,7,1,1,1,362,-193,8635,-19,-64,37,294,-140,-746,90,0
81,34,26,69,5,1,1,1,470,-155,8710,-34,-53,6,293,-135,-739,90,0
9,24,20,32,18,1,1,1,437,-288,8501,24,-29,69,297,-137,-747,90,0
83,21,15,20,6,1,1,1,425,-223,8643,-1,-47,166,298,-152,-746,90,1
81,26,13,14,19,1,1,1,590,-273,8543,131,50,2325,293,-191,-749,90,1
80,25,24,12,45,1,1,1,625,-241,8513,136,27,2559,273,-227,-745,90,1
6,61,23,13,5,1,1,1,482,-267,8560,165,-17,2798,247,-259,-739,90,1
7,60,74,17,18,1,1,1,403,-209,8586,123,-20,2298,199,-293,-737,90,1
7,74,72,22,18,1,1,1,312,-120,8489,121,16,2084,157,-297,-749,90,0
7,68,70,107,18,1,1,1,118,-199,8642,-21,100,-13,166,-288,-746,90,0
7,50,66,104,6,1,1,1,288,-269,8604,1,13,-7,148,-300,-744,90,0
62,61,61,114,18,1,1,1,303,-167,8472,5,65,53,164,-298,-736,90,0
58,58,56,60,14,1,1,1,392,-208,8466,28,28,22,156,-316,-742,90,0
58,53,51,107,12,1,1,1,356,-145,8706,1,107,89,153,-303,-739,90,0
7,46,45,104,10,1,1,1,377,-254,8573,-4,21,69,146,-314,-736,90,0
7,42,41,61,9,1,1,1,312,-196,8526,-13,20,136,140,-320,-726,90,0
8,37,35,113,8,1,1,1,302,-123,8502,-1,71,104,123,-319,-727,90,0
70,57,30,60,7,1,1,1,256,-104,8528,-15,43,136,125,-317,-721,90,0
71,28,25,85,6,1,1,1,391,-220,8549,-13,18,96,107,-319,-735,90,0
70,25,19,104,6,1,1,1,392,-192,8562,-13,4,172,96,-318,-726,90,1
68,68,18,18,9,1,1,1,752,-136,8485,137,23,2286,55,-315,-731,90,1
68,63,23,17,16,1,1,1,511,-150,8546,148,-8,2922,11,-277,-717,90,1
7,55,66,19,5,1,1,1,500,-49,8573,151,-9,3113,-22,-224,-714,90,1
7,61,62,94,24,1,1,1,236,-93,8599,152,6,2867,-36,-152,-714,90,0
78,58,58,118,23,1,1,1,75,-215,8545,10,51,50,-27,-139,-711,90,0
8,54,55,23,22,1,1,1,289,-142,8616,-20,-14,37,-21,-133,-697,90,0
7,50,51,22,5,1,1,1,318,-196,8550,-36,2,71,-27,-129,-675,90,0
82,46,46,105,6,1,1,1,419,-71,8595,12,-23,155,-41,-115,-641,90,0
74,41,41,19,18,1,1,1,366,-154,8578,5,-42,185,-68,-94,-606,90,1
7,44,38,51,19,1,1,1,684,-129,8479,105,4,2272,-48,-22,-626,90,0
8,42,36,39,19,1,1,1,215,-184,8553,-12,22,65,-26,6,-604,90,0
81,61,32,33,8,1,1,1,357,-198,8596,-21,29,81,-8,18,-604,90,0
7,57,27,28,18,1,1,1,359,-174,8508,-34,12,194,21,17,-607,90,0
71,54,21,24,19,1,1,1,381,-142,8558,2,30,122,51,-7,-623,90,0
8,51,16,49,5,1,1,1,393,-126,8610,-4,47,102,54,-54,-636,90,1
8,48,16,14,6,1,1,1,605,-302,8521,141,47,2232,65,-49,-659,90,1
6,45,20,13,7,1,1,1,518,-316,8632,135,-16,2854,112,-26,-666,90,1
83,69,45,17,19,1,1,1,577,-97,8474,139,37,2861,153,-21,-673,90,1
57,70,70,107,20,1,1,1,142,-80,8592,107,39,2406,195,-19,-677,90,0
8,68,67,90,20,1,1,1,144,-214,8611,-10,51,24,188,-26,-676,90,0
57,63,63,104,7,1,1,1,428,-174,8522,19,49,52,174,-16,-700,90,0
57,58,57,34,18,1,1,1,485,-223,8472,-29,-17,163,178,-12,-708,90,0
6,47,52,29,17,1,1,1,433,-115,8469,-4,76,102,170,-16,-716,90,0
52,51,46,24,5,1,1,1,522,-195,8662,19,4,83,156,-14,-716,90,0
62,41,44,20,16,1,1,1,452,-165,8625,6,47,113,153,-13,-727,90,0
9,36,36,38,14,1,1,1,485,-210,8478,21,39,208,166,-6,-724,90,0
7,34,30,34,14,1,1,1,386,-165,8532,-11,0,108,160,0,-724,90,0
61,67,26,30,5,1,1,1,467,-199,8589,11,40,12,164,-12,-722,90,0
61,23,20,105,11,1,1,1,485,-249,8544,9,30,168,171,-19,-723,90,1
7,43,18,16,16,1,1,1,685,-400,8531,121,-3,2736,207,-25,-737,90,1
8,40,60,15,5,1,1,1,465,-320,8552,120,-17,2945,246,-44,-736,90,1
7,44,55,19,6,1,1,1,560,-25,8640,154,31,2878,278,-92,-734,90,1
9,54,52,50,6,1,1,1,334,-160,8659,126,-75,2395,282,-128,-752,90,0
78,53,50,53,22,1,1,1,162,-140,8628,-14,45,68,302,-134,-746,90,0
7,51,45,61,21,1,1,1,277,-196,8577,-9,23,54,296,-132,-744,90,0
7,49,40,78,20,1,1,1,410,-276,8420,-14,-80,64,284,-134,-736,90,0
82,39,35,74,18,1,1,1,383,-249,8565,-16,32,181,290,-128,-744,90,0
9,32,29,77,17,1,1,1,363,-200,8493,-4,44,58,301,-131,-743,90,0
9,35,24,65,5,1,1,1,468,-182,8739,-5,-47,56,293,-127,-741,90,0
86,24,19,63,14,1,1,1,546,-230,8547,-11,11,111,295,-139,-733,90,1
6,28,17,19,6,1,1,1,761,-422,8581,111,-4,2198,295,-175,-745,90,1
7,30,18,15,5,1,1,1,650,-356,8570,127,28,2301,278,-208,-746,90,1
8,60,27,15,48,1,1,1,576,-300,8571,162,-4,2879,256,-262,-740,90,1
78,75,77,29,21,1,1,1,349,-252,8525,152,40,2918,200,-280,-748,90,0
7,64,75,26,6,1,1,1,-14,-248,8548,15,23,-4,207,-289,-751,90,0
7,58,72,19,19,1,1,1,232,-232,8593,-25,56,65,202,-292,-744,90,0
8,56,67,104,18,1,1,1,337,-143,8556,-7,-42,86,196,-302,-736,90,1
8,54,63,108,5,1,1,1,450,-107,8616,97,-24,2290,154,-306,-744,90,0
7,50,60,103,6,1,1,1,120,-240,8524,-4,15,74,151,-303,-735,90,0
61,57,58,105,14,1,1,1,195,-109,8609,-28,-7,106,147,-311,-745,90,0
7,52,52,106,13,1,1,1,310,-159,8478,-7,71,141,140,-314,-742,90,0
8,50,46,113,12,1,1,1,279,-209,8492,-17,14,47,128,-308,-730,90,0
66,43,41,48,11,1,1,1,345,-216,8578,4,56,63,137,-309,-731,90,0
70,39,36,40,10,1,1,1,201,-110,8479,-10,25,152,127,-325,-731,90,0
7,53,32,39,10,1,1,1,377,-165,8481,0,47,174,111,-315,-729,90,0
8,29,26,86,9,1,1,1,336,-197,8477,-12,29,95,105,-311,-723,90,0
9,50,21,27,6,1,1,1,447,-232,8609,-2,38,102,101,-307,-727,90,0
67,79,16,20,9,1,1,1,404,-96,8522,-9,68,146,88,-322,-746,90,1
66,68,15,15,9,1,1,1,620,-190,8440,83,39,1771,44,-302,-734,90,1
65,64,16,13,15,1,1,1,434,-22,8551,92,4,1994,25,-281,-725,90,1
83,60,71,14,23,1,1,1,522,102,8538,155,-27,2852,-15,-243,-723,90,1
8,58,54,20,20,1,1,1,328,-87,8583,155,-50,3088,-24,-178,-710,90,0
9,56,58,109,19,1,1,1,80,-173,8598,2,11,41,-25,-167,-705,90,0
8,52,55,16,17,1,1,1,315,-217,8575,-23,31,41,-26,-168,-672,90,1
6,52,51,94,18,1,1,1,506,-11,8625,51,-43,1676,-41,-111,-671,90,0
84,50,49,104,18,1,1,1,46,-171,8590,-44,19,126,-41,-111,-649,90,0
86,46,44,102,5,1,1,1,281,-210,8620,10,-29,210,-72,-76,-608,90,0
6,41,41,99,14,1,1,1,353,-129,8572,-21,-23,43,-97,-27,-581,90,0
8,44,34,96,6,1,1,1,349,-239,8629,4,64,82,-109,59,-541,90,0
7,31,29,114,6,1,1,1,430,-130,8664,-19,17,133,-74,134,-522,90,0
66,125,24,91,6,1,1,1,413,-222,8544,-12,14,168,21,171,-519,90,0
8,22,18,118,6,1,1,1,362,-303,8593,-35,-53,127,98,90,-532,90,1
62,84,16,18,13,1,1,1,529,-128,8496,123,-19,2255,143,37,-571,90,1
6,55,20,16,5,1,1,1,527,-380,8607,177,-18,2805,177,11,-595,90,1
8,56,53,17,22,1,1,1,551,-232,8629,196,-11,3544,218,-4,-618,90,1
8,79,55,27,6,1,1,1,457,-124,8529,147,84,3306,269,-19,-625,90,0
8,77,54,102,22,1,1,1,43,-245,8602,15,-21,34,256,-24,-636,90,0
9,73,52,99,22,1,1,1,391,-212,8569,-21,-96,52,209,-19,-673,90,0
8,67,68,117,20,1,1,1,459,-202,8586,-3,58,59,186,-16,-690,90,0
8,48,64,104,19,1,1,1,523,-156,8638,-15,-20,172,172,-14,-700,90,0
8,58,56,107,18,1,1,1,427,-239,8511,-12,61,165,169,-13,-705,90,0
7,44,51,28,5,1,1,1,448,-207,8556,-4,-9,172,164,-8,-708,90,0
60,47,46,23,16,1,1,1,389,-183,8437,2,42,94,154,-20,-714,90,0
8,42,44,19,15,1,1,1,463,-171,8594,-3,22,211,163,-21,-713,90,1
61,61,40,38,17,1,1,1,573,12,8520,116,13,2516,184,-24,-722,90,0
8,43,37,35,20,1,1,1,209,-197,8541,-31,4,118,199,-15,-725,90,0
59,57,32,32,20,1,1,1,401,-250,8516,22,57,38,202,-12,-732,90,0
7,40,28,27,20,1,1,1,418,-160,8583,-10,-49,157,207,-11,-737,90,0
7,39,24,21,20,1,1,1,413,-243,8597,11,24,119,214,-16,-734,90,0
7,53,17,16,21,1,1,1,463,-175,8565,-41,-1,169,214,-24,-736,90,1
9,47,52,13,33,1,1,1,622,-324,8529,161,5,2387,246,-44,-738,90,1
59,44,48,15,19,1,1,1,687,-360,8481,199,92,3207,274,-74,-748,90,1
89,51,44,49,19,1,1,1,399,-56,8499,184,75,3645,286,-130,-746,90,0
7,49,41,57,19,1,1,1,227,-242,8555,-29,-72,95,294,-146,-750,90,0
7,41,37,75,6,1,1,1,435,-253,8588,-11,32,39,285,-147,-745,90,0
63,37,32,36,18,1,1,1,372,-263,8579,-2,10,98,292,-152,-744,90,0
82,36,27,73,17,1,1,1,466,-256,8556,3,-60,121,290,-156,-744,90,0
8,26,20,24,6,1,1,1,341,-255,8507,-47,-49,169,297,-151,-743,90,0
7,28,16,20,16,1,1,1,507,-237,8570,-7,23,77,309,-149,-743,90,1
82,25,15,15,17,1,1,1,535,-381,8571,100,16,1794,294,-192,-746,90,1
82,26,15,13,20,1,1,1,524,-153,8570,51,-37,1130,297,-225,-739,90,1
67,77,24,12,45,1,1,1,637,-358,8515,95,31,2041,285,-235,-751,90,1
9,59,25,15,6,1,1,1,580,-243,8586,159,41,2990,231,-273,-739,90,1
7,64,74,23,5,1,1,1,425,-81,8632,163,-18,2992,174,-286,-740,90,0
59,71,72,21,18,1,1,1,196,-292,8601,0,27,-8,158,-298,-748,90,1
7,49,15,70,20,1,1,1,471,-373,8640,94,16,1681,131,-293,-737,90,0
59,69,66,119,6,1,1,1,166,-163,8598,-26,26,-60,133,-303,-739,90,0
58,63,61,101,18,1,1,1,301,-187,8475,-10,17,25,124,-298,-746,90,0
58,60,58,102,17,1,1,1,328,-250,8558,-21,77,108,126,-310,-732,90,0
7,45,51,100,15,1,1,1,309,-248,8612,-27,-21,66,125,-307,-743,90,0
9,45,46,53,6,1,1,1,354,-232,8698,-16,29,19,128,-300,-742,90,0
61,44,42,44,7,1,1,1,294,-179,8650,7,-22,120,107,-305,-735,90,0
7,40,36,41,15,1,1,1,293,-182,8669,-14,77,181,99,-299,-727,90,0
7,36,32,34,14,1,1,1,315,-186,8508,-26,-46,90,100,-300,-724,90,0
61,32,26,30,6,1,1,1,373,-170,8578,-20,8,76,96,-310,-718,90,0
61,61,21,26,5,1,1,1,418,-237,8605,-3,86,131,81,-299,-711,90,0
7,46,16,70,5,1,1,1,455,-246,8605,-28,22,193,73,-299,-713,90,1
8,41,15,14,5,1,1,1,556,-259,8540,137,-58,2399,28,-276,-702,90,1
9,38,18,13,28,1,1,1,528,-74,8450,128,37,2602,-3,-249,-697,90,1
78,53,60,16,20,1,1,1,380,-242,8493,86,-23,2216,-31,-207,-681,90,1
8,52,55,21,20,1,1,1,319,-278,8623,121,26,2602,-32,-148,-686,90,0
7,51,50,81,6,1,1,1,188,-171,8577,16,6,79,-16,-132,-674,90,0
84,46,47,18,19,1,1,1,359,-207,8604,2,39,77,-56,-136,-640,90,1
81,46,44,103,19,1,1,1,359,18,8651,57,22,1651,-44,-74,-640,90,0
8,44,42,102,18,1,1,1,200,-150,8547,-23,-30,83,-52,-52,-612,90,0
81,47,38,50,18,1,1,1,448,-170,8643,-9,-84,158,-56,-8,-598,90,0
61,41,33,38,17,1,1,1,293,-168,8472,5,0,70,-41,19,-589,90,0
7,32,28,36,16,1,1,1,369,-235,8432,-23,34,160,-1,37,-579,90,0
8,37,23,27,16,1,1,1,315,-256,8526,6,-14,90,39,29,-587,90,0
7,25,17,24,17,1,1,1,456,-201,8524,1,3,208,71,-15,-611,90,1
7,53,16,16,19,1,1,1,464,-390,8526,135,42,2276,86,-28,-626,90,1
7,49,56,14,7,1,1,1,565,-257,8597,180,50,3186,117,-19,-639,90,1
9,73,49,20,5,1,1,1,539,-62,8669,171,47,3663,176,-2,-654,90,0
79,71,47,104,19,1,1,1,224,-160,8598,4,-81,127,166,-12,-666,90,0
7,61,41,18,17,1,1,1,391,-123,8517,-9,19,60,160,-16,-680,90,1
58,66,65,106,18,1,1,1,613,78,8567,134,76,2419,183,-19,-701,90,0
7,48,62,106,18,1,1,1,319,-203,8577,-22,25,63,182,-16,-704,90,0
8,48,57,112,6,1,1,1,433,-190,8533,4,32,150,183,-21,-711,90,0
59,54,52,28,17,1,1,1,397,-203,8593,-14,3,160,179,-15,-717,90,0
8,68,47,24,16,1,1,1,513,-215,8470,-15,-12,145,170,-8,-714,90,0
7,42,45,45,7,1,1,1,509,-120,8596,3,-7,35,158,-24,-722,90,1
7,44,42,38,19,1,1,1,680,-162,8605,136,5,2593,194,-12,-726,90,0
7,41,39,35,21,1,1,1,336,-146,8604,-6,1,174,218,-24,-728,90,0
57,56,35,31,22,1,1,1,313,-110,8543,-51,10,131,219,-23,-729,90,0
55,54,29,27,23,1,1,1,387,-153,8497,-14,-61,122,223,-9,-731,90,0
7,35,62,21,5,1,1,1,496,-267,8463,-15,-1,175,218,-24,-730,90,0
7,48,20,16,34,1,1,1,374,-162,8462,16,21,273,210,-32,-728,90,1
56,44,53,14,33,1,1,1,580,-325,8626,170,28,2783,249,-51,-733,90,1
7,44,43,16,6,1,1,1,704,-274,8673,200,-48,3672,276,-94,-740,90,1
63,91,42,44,5,1,1,1,490,-52,8495,245,57,3869,293,-163,-745,90,0
8,62,40,41,7,1,1,1,239,-147,8616,-26,-35,61,288,-180,-744,90,0
8,62,35,36,23,1,1,1,316,-235,8519,-23,-7,24,289,-171,-753,90,0
7,84,31,31,6,1,1,1,400,-202,8619,-5,-24,49,282,-176,-740,90,0
70,81,26,29,25,1,1,1,446,-217,8526,-33,-27,111,290,-186,-734,90,0
72,29,20,21,25,1,1,1,475,-242,8471,-18,59,228,297,-177,-743,90,0
8,22,16,16,27,1,1,1,447,-193,8580,-15,-13,86,304,-194,-746,90,1
7,55,18,12,48,1,1,1,647,-310,8503,114,-42,2637,278,-226,-760,90,1
83,66,73,13,5,1,1,1,600,-84,8614,172,32,2819,246,-268,-754,90,1
6,57,66,18,18,1,1,1,478,-198,8614,169,-19,2983,183,-293,-747,90,0
8,50,65,16,5,1,1,1,178,-200,8565,-1,-46,29,186,-314,-744,90,1
50,62,62,106,5,1,1,1,394,-159,8579,59,53,1579,157,-303,-737,90,0
8,48,58,113,5,1,1,1,163,-220,8555,-28,-9,9,147,-303,-739,90,0
8,51,56,39,6,1,1,1,248,-223,8554,3,16,62,144,-304,-732,90,0
58,51,49,111,13,1,1,1,373,-247,8663,9,12,145,138,-298,-736,90,0
63,47,44,67,13,1,1,1,379,-205,8678,30,22,60,130,-318,-736,90,0
10,42,40,106,6,1,1,1,303,-159,8546,17,63,84,131,-307,-733,90,0
7,36,34,16,7,1,1,1,303,-184,8573,9,23,93,115,-319,-729,90,1
7,48,33,34,12,1,1,1,613,-182,8534,94,-39,2208,75,-301,-731,90,0
63,75,31,33,13,1,1,1,138,-156,8530,-25,-64,82,61,-291,-719,90,0
9,43,27,27,14,1,1,1,304,-124,8547,-34,3,128,57,-297,-711,90,0
61,63,22,26,7,1,1,1,309,-228,8505,-9,-37,110,55,-287,-713,90,0
7,42,17,25,17,1,1,1,345,-142,8575,-7,24,130,45,-285,-707,90,1
58,56,18,14,6,1,1,1,704,-146,8579,133,19,2633,11,-257,-695,90,1
77,53,59,16,28,1,1,1,552,-67,8653,152,-7,2869,-22,-218,-692,90,1
76,52,56,20,6,1,1,1,426,-179,8481,142,60,2798,-36,-156,-684,90,1
7,55,54,53,7,1,1,1,391,-169,8639,122,4,2740,-24,-94,-688,90,0
