"middleUltrasonic","leftUltrasonic","rightUltrasonic","backUltrasonic","L0","L1","L2","xAccel","yAccel","zAccel","xGyro","yGyro","zGyro","xMag","yMag","zMag","servoAngle","state"
"27.0","31.0","24.0","19.0","1","1","1","268.0","-181.0","8582.0","-13.0","15.0","12.0","316.0","-30.0","-720.0","90","0"
"25.0","31.0","24.0","20.0","1","1","1","-151.0","-176.0","8536.0","12.0","23.0","125.0","314.0","-34.0","-718.0","90","0"
"21.0","29.0","61.0","25.0","1","1","1","63.0","-101.0","8576.0","20.0","11.0","113.0","308.0","-42.0","-704.0","90","0"
"15.0","27.0","60.0","32.0","1","1","1","283.0","-239.0","8570.0","10.0","-23.0","210.0","321.0","-31.0","-715.0","90","0"
"8.0","25.0","10.0","39.0","1","1","1","220.0","-167.0","8593.0","-13.0","16.0","12.0","327.0","-41.0","-711.0","90","1"
"10.0","26.0","10.0","37.0","1","1","1","520.0","-165.0","8574.0","-10.0","-29.0","-99.0","329.0","-51.0","-707.0","90","1"
"15.0","27.0","59.0","31.0","1","1","1","306.0","-206.0","8574.0","-21.0","-2.0","-144.0","314.0","-42.0","-710.0","90","1"
"21.0","29.0","61.0","25.0","1","1","1","258.0","-43.0","8580.0","-19.0","-18.0","-29.0","318.0","-46.0","-724.0","90","1"
"27.0","30.0","23.0","19.0","1","1","1","294.0","-160.0","8720.0","-76.0","61.0","-182.0","317.0","-33.0","-707.0","90","1"
"38.0","33.0","32.0","10.0","1","1","1","239.0","-190.0","8585.0","-13.0","14.0","12.0","318.0","-46.0","-710.0","90","2"
"34.0","34.0","29.0","41.0","1","1","1","506.0","-267.0","8497.0","-136.0","85.0","-3984.0","248.0","-30.0","-712.0","90","2"
"24.0","30.0","18.0","36.0","1","1","1","396.0","-176.0","8529.0","-130.0","54.0","-4165.0","169.0","-75.0","-711.0","90","2"
"19.0","44.0","23.0","26.0","1","1","1","182.0","-136.0","8603.0","-14.0","15.0","12.0","124.0","-146.0","-698.0","90","0"
