"time","ultrasonic","L0","L1","L2","xAccel","yAccel","zAccel","xGyro","yGyro","zGyro","xMag","yMag","zMag","servoAngle","state"
"1.829","70.0","true","true","false","110.0","81.0","8596.0","-17.0","24.0","3.0","236.0","-346.0","-752.0","90","Stop"
"1.843","70.0","true","true","false","146.0","61.0","8594.0","-16.0","23.0","5.0","225.0","-343.0","-745.0","90","Stop"
"1.868","70.0","true","true","false","124.0","68.0","8594.0","-22.0","17.0","-3.0","231.0","-347.0","-749.0","90","Stop"
"1.873","70.0","true","true","false","113.0","61.0","8585.0","-20.0","22.0","3.0","232.0","-348.0","-754.0","90","Stop"
"1.878","70.0","true","true","false","134.0","43.0","8601.0","-18.0","19.0","3.0","226.0","-350.0","-752.0","90","Stop"
"2.06","70.0","true","true","false","134.0","96.0","8601.0","-20.0","17.0","5.0","224.0","-346.0","-744.0","90","Stop"
"2.278","70.0","true","true","false","126.0","54.0","8604.0","-21.0","19.0","0.0","230.0","-342.0","-750.0","90","Stop"
"2.499","71.0","true","true","false","139.0","58.0","8599.0","-21.0","18.0","1.0","223.0","-339.0","-747.0","90","Stop"
"2.719","70.0","true","true","false","131.0","72.0","8586.0","-23.0","17.0","2.0","229.0","-347.0","-751.0","90","Stop"
"2.941","70.0","true","true","false","123.0","83.0","8603.0","-17.0","21.0","4.0","233.0","-337.0","-757.0","90","Stop"
"3.162","70.0","true","true","false","137.0","89.0","8588.0","-30.0","27.0","3.0","233.0","-345.0","-745.0","90","Stop"
"3.383","71.0","true","true","false","160.0","105.0","8588.0","-21.0","23.0","4.0","231.0","-347.0","-747.0","90","Stop"
"3.604","70.0","true","true","false","147.0","90.0","8597.0","-18.0","17.0","0.0","234.0","-350.0","-752.0","90","Stop"
"3.825","70.0","true","true","false","126.0","120.0","8591.0","-12.0","11.0","0.0","223.0","-345.0","-751.0","90","Stop"
